J1 J2 J3 J5 J6
14.2887 45.2663 56.9503 -0.3309 44.7724
14.3671 45.4226 57.0771 -0.2596 45.0562
15.4443 47.7105 59.0372 0.9692 49.4371
14.9186 47.7922 57.3159 0.9079 48.4952
14.1657 46.2526 56.108 0.8499 44.9399
13.8914 45.756 55.6741 0.8233 43.6318
10.4509 40.4778 51.5617 0.1342 31.339
10.2926 40.2733 51.4318 0.2001 30.7888
5.9953 36.449 48.5023 0.03 17.5055
5.8519 36.3416 48.4505 0.0719 17.0741
4.7822 35.6076 48.0942 0.3658 13.7983
1.0098 33.8976 47.7062 0.8494 3.2446
0.9095 33.9442 47.6501 0.5967 3.124
-1.2053 33.386 48.0683 1.1303 -2.889
-1.3367 33.9215 47.6758 -0.2639 -3.1585
-6.4801 34.1259 50.364 0.4625 -17.4703
-6.6412 34.1903 50.471 0.4154 -17.9019
-11.3041 36.7669 55.1035 0.3423 -31.3976
-11.4188 36.8778 55.2338 0.2829 -31.7221
-14.2634 40.0895 59.1455 -0.7775 -39.9631
-14.3247 38.5882 60.4752 0.889 -40.4903
-13.6023 37.9392 59.0236 -0.1603 -38.1361
-13.622 37.9645 59.0559 -0.1385 -38.2016
-11.4298 35.8297 55.9016 -0.4743 -30.9373
-6.6988 33.1742 51.2462 -0.2344 -17.614
-11.4298 35.8297 55.9016 -0.4743 -30.9373
-11.3263 35.7365 55.7799 -0.4461 -30.6239
-6.5575 33.1073 51.1611 -0.156 -17.2715
-1.8126 32.4608 48.8726 0.2415 -4.7036
-1.6706 32.4606 48.8408 0.2758 -4.3472
3.4033 33.8074 48.6045 0.0755 9.532
3.4802 33.807 48.6472 0.2034 9.6657
8.3182 36.9278 50.8201 0.3068 23.7964
8.4321 37.0527 50.877 0.2136 24.1863
10.4002 39.1808 52.3856 -0.2466 30.7091
10.5228 39.334 52.4933 -0.2677 31.1098
14.2887 45.2663 56.9503 -0.3309 44.7724
14.4624 45.0867 56.7146 -0.4609 44.8856
15.5927 47.439 58.8069 0.9512 49.4127
15.0358 47.4484 57.0599 1.0158 48.2709
11.1698 40.7628 52.0042 0.8075 33.1424
7.7966 37.5455 48.9549 -0.4286 22.7254
4.6471 35.1609 47.6838 0.3943 13.2258
-0.7904 32.7945 47.8116 2.0303 -2.3153
-3.6773 33.1731 48.3617 0.7212 -9.8638
-7.6471 34.1737 50.8266 0.324 -20.4009
-10.5862 35.6726 53.8435 0.6683 -29.019
-14.3984 39.7635 58.8511 -0.7698 -39.9426
-14.4913 38.2852 60.2328 0.9355 -40.5793
-10.8739 34.912 54.7818 -0.2366 -29.3205
-7.6412 33.2104 51.4592 -0.5606 -19.9073
