348.250, -0.627, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 4.295, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 9.217, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 14.140, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 19.062, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 23.984, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 28.906, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.240, 29.633, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.188, 30.621, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.056, 31.602, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.845, 32.569, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.557, 33.516, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.194, 34.437, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.757, 35.325, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.250, 36.175, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.677, 36.981, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.039, 37.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
344.343, 38.442, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
343.593, 39.087, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
342.792, 39.670, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.947, 40.185, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.064, 40.631, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
340.147, 41.004, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
339.203, 41.302, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
338.239, 41.523, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
337.259, 41.665, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
336.334, 41.726, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
335.670, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
330.714, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
325.758, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
320.802, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
315.846, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
310.890, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
305.934, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
300.978, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
296.022, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
291.066, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
286.109, 41.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
281.153, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
276.197, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
271.241, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
266.285, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
261.329, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
256.373, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
251.417, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
246.461, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.505, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.549, 41.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
235.851, 41.730, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
234.863, 41.677, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
233.882, 41.545, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
232.915, 41.334, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
231.968, 41.045, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
231.048, 40.681, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
230.160, 40.244, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
229.310, 39.737, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
228.504, 39.163, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
