J1 J2 J3 J5 J6
12.7513 32.1489 72.1201 0.0 0.0
12.4947 32.0933 72.2087 0.0 0.0
12.3404 32.0666 72.2515 0.0 0.0
11.1992 31.8975 72.5233 0.0 0.0
10.049 31.7459 72.7694 0.0 0.0
8.8906 31.6116 72.9894 0.0 0.0
7.7247 31.4944 73.1829 0.0 0.0
6.5527 31.3943 73.3495 0.0 0.0
5.3748 31.311 73.4891 0.0 0.0
4.1924 31.2444 73.6011 0.0 0.0
3.0064 31.1944 73.6855 0.0 0.0
1.8178 31.161 73.7422 0.0 0.0
0.6277 31.1441 73.771 0.0 0.0
-0.563 31.1438 73.7714 0.0 0.0
-1.7532 31.1598 73.7442 0.0 0.0
-2.9419 31.1923 73.689 0.0 0.0
-4.1281 31.2414 73.6061 0.0 0.0
-5.3104 31.3071 73.4956 0.0 0.0
-6.4885 31.3895 73.3576 0.0 0.0
-7.6612 31.4887 73.1923 0.0 0.0
-8.8274 31.6049 73.0003 0.0 0.0
-9.9863 31.7383 72.7817 0.0 0.0
-11.1369 31.8889 72.537 0.0 0.0
-11.0882 32.0539 72.2716 0.0 0.0
-11.2459 32.0778 72.2336 0.0 0.0
-11.4653 32.1185 72.1684 0.0 0.0
-11.6789 32.1729 72.0819 0.0 0.0
-11.8849 32.2407 71.9743 0.0 0.0
-12.0813 32.3214 71.8469 0.0 0.0
-12.2672 32.4145 71.7005 0.0 0.0
-12.4409 32.5196 71.5363 0.0 0.0
-12.6013 32.6359 71.3555 0.0 0.0
-12.7472 32.7627 71.1598 0.0 0.0
-12.8774 32.8991 70.9506 0.0 0.0
-12.9915 33.0441 70.7296 0.0 0.0
-13.0888 33.1972 70.4982 0.0 0.0
-13.1684 33.357 70.2585 0.0 0.0
-13.23 33.5226 70.0119 0.0 0.0
-13.2736 33.6927 69.7603 0.0 0.0
-13.2989 33.8662 69.5058 0.0 0.0
-13.3059 34.0421 69.2497 0.0 0.0
-13.295 34.2189 68.994 0.0 0.0
-13.2524 34.4548 68.6557 0.0 0.0
-13.2225 34.5726 68.4881 0.0 0.0
-12.9741 35.4897 67.2058 0.0 0.0
-12.7347 36.4354 65.9234 0.0 0.0
-12.5039 37.4086 64.6394 0.0 0.0
-12.2809 38.4094 63.3514 0.0 0.0
-12.0658 39.4377 62.0575 0.0 0.0
-11.8581 40.4934 60.7563 0.0 0.0
-11.6573 41.5771 59.4455 0.0 0.0
-11.463 42.6896 58.123 0.0 0.0
-11.2751 43.8314 56.7873 0.0 0.0
-11.0931 45.0039 55.4355 0.0 0.0
-10.9168 46.2085 54.066 0.0 0.0
-10.7461 47.4464 52.6762 0.0 0.0
