245.881, 64.175, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
244.924, 63.887, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.993, 63.522, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.094, 63.085, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.233, 62.577, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.415, 62.002, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.646, 61.363, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.930, 60.665, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.272, 59.912, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
238.677, 59.109, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
238.148, 58.260, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
237.688, 57.373, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
237.301, 56.451, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.988, 55.501, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.753, 54.530, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.596, 53.542, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.514, 52.411, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.500, 51.740, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.501, -46.558, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
237.501, -46.545, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
237.510, -47.226, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
237.563, -48.183, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
237.695, -49.133, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
237.906, -50.069, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
238.194, -50.983, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
