J1 J2 J3 J5 J6
-9.956 30.7638 75.3228 0.0 0.0
-9.1937 30.4514 75.9109 0.0 0.0
-8.4173 30.1527 76.4914 0.0 0.0
-7.6272 29.8676 77.0637 0.0 0.0
-7.7982 29.8817 77.0351 0.0 0.0
-8.0445 29.9081 76.9812 0.0 0.0
-8.2857 29.9462 76.9039 0.0 0.0
-8.5199 29.9957 76.8042 0.0 0.0
-8.7454 30.0564 76.6825 0.0 0.0
-8.9604 30.128 76.5401 0.0 0.0
-9.1635 30.2103 76.3778 0.0 0.0
-9.3532 30.3026 76.1976 0.0 0.0
-9.5284 30.4048 76.0003 0.0 0.0
-9.6879 30.5161 75.7875 0.0 0.0
-9.8307 30.6359 75.5614 0.0 0.0
-9.956 30.7638 75.3228 0.0 0.0
-10.0628 30.8986 75.0744 0.0 0.0
-10.1509 31.0399 74.8174 0.0 0.0
-10.2198 31.1867 74.5537 0.0 0.0
-10.2695 31.3381 74.2851 0.0 0.0
-10.2995 31.4932 74.0132 0.0 0.0
-10.3101 31.6508 73.7404 0.0 0.0
-10.3013 31.8098 73.4683 0.0 0.0
-10.2763 31.9577 73.218 0.0 0.0
-10.2513 32.0649 73.0381 0.0 0.0
-10.045 32.8824 71.7071 0.0 0.0
-9.8468 33.7335 70.3856 0.0 0.0
-9.6562 34.6165 69.0709 0.0 0.0
-9.4728 35.53 67.7603 0.0 0.0
-9.2959 36.4731 66.4517 0.0 0.0
-9.1256 37.445 65.1427 0.0 0.0
-8.9615 38.4453 63.8311 0.0 0.0
-8.8031 39.4739 62.5151 0.0 0.0
-8.6501 40.5308 61.1925 0.0 0.0
-8.5023 41.6163 59.8612 0.0 0.0
-8.3595 42.731 58.5192 0.0 0.0
-8.2214 43.8758 57.1646 0.0 0.0
-8.0877 45.0516 55.7948 0.0 0.0
-7.9582 46.2599 54.4078 0.0 0.0
-7.8328 47.5022 53.0008 0.0 0.0
-7.7111 48.7807 51.5714 0.0 0.0
-7.5933 50.0977 50.1161 0.0 0.0
-7.479 51.4562 48.6318 0.0 0.0
-7.3681 52.8595 47.1146 0.0 0.0
-7.2604 54.3118 45.5599 0.0 0.0
-7.2438 54.5198 45.3384 0.0 0.0
-7.2138 54.8151 45.0246 0.0 0.0
-7.1707 55.1073 44.7146 0.0 0.0
-7.1151 55.3941 44.4108 0.0 0.0
-7.0473 55.6743 44.1147 0.0 0.0
-6.9681 55.9453 43.8284 0.0 0.0
-6.8778 56.2054 43.5544 0.0 0.0
-6.7771 56.4529 43.294 0.0 0.0
-6.6667 56.6858 43.0492 0.0 0.0
-6.5473 56.9026 42.8216 0.0 0.0
-6.4198 57.1021 42.6126 0.0 0.0
-6.2848 57.2818 42.4243 0.0 0.0
-6.1431 57.4412 42.2575 0.0 0.0
-5.9959 57.5787 42.1138 0.0 0.0
-5.8439 57.6934 41.994 0.0 0.0
-5.688 57.7846 41.8988 0.0 0.0
-5.529 57.851 41.8294 0.0 0.0
-5.3682 57.8923 41.7863 0.0 0.0
-5.2061 57.9088 41.7691 0.0 0.0
-5.0583 57.9013 41.7769 0.0 0.0
-4.9497 57.8868 41.792 0.0 0.0
-4.145 57.7585 41.9259 0.0 0.0
-3.3387 57.6533 42.0359 0.0 0.0
-2.5309 57.5708 42.122 0.0 0.0
-1.7222 57.5112 42.1843 0.0 0.0
-0.9129 57.4744 42.2229 0.0 0.0
-0.1032 57.4601 42.2377 0.0 0.0
0.7066 57.4683 42.2293 0.0 0.0
1.5161 57.4994 42.1968 0.0 0.0
2.3251 57.5532 42.1405 0.0 0.0
3.1331 57.6298 42.0605 0.0 0.0
3.9398 57.7292 41.9566 0.0 0.0
4.7449 57.8516 41.8287 0.0 0.0
4.8638 57.8687 41.8109 0.0 0.0
5.0259 57.8797 41.7995 0.0 0.0
5.188 57.8652 41.8147 0.0 0.0
5.3491 57.8253 41.8563 0.0 0.0
5.5082 57.7605 41.9239 0.0 0.0
5.6644 57.6714 42.0169 0.0 0.0
5.8168 57.5583 42.1351 0.0 0.0
5.9644 57.4224 42.2772 0.0 0.0
6.1064 57.2649 42.442 0.0 0.0
6.242 57.0862 42.6291 0.0 0.0
6.37 56.8886 42.8364 0.0 0.0
6.49 56.6732 43.0624 0.0 0.0
6.6013 56.4413 43.3062 0.0 0.0
6.7026 56.1948 43.5656 0.0 0.0
6.7936 55.9358 43.8386 0.0 0.0
6.8737 55.6656 44.1239 0.0 0.0
6.9423 55.3863 44.4191 0.0 0.0
6.9987 55.1001 44.7222 0.0 0.0
7.0426 54.8083 45.0318 0.0 0.0
7.072 54.5321 45.3253 0.0 0.0
7.0882 54.334 45.5363 0.0 0.0
7.1934 52.8806 47.0918 0.0 0.0
7.3016 51.4763 48.6098 0.0 0.0
7.4132 50.117 50.0949 0.0 0.0
7.5282 48.7991 51.5509 0.0 0.0
7.6468 47.5198 52.9811 0.0 0.0
7.7692 46.2767 54.3887 0.0 0.0
7.8955 45.0676 55.7763 0.0 0.0
8.026 43.891 57.1466 0.0 0.0
8.1608 42.7456 58.5019 0.0 0.0
