325.910, -46.909, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
328.076, -45.209, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
328.601, -44.785, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
329.121, -44.345, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
331.354, -42.319, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.284, -41.442, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.704, -41.015, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
334.528, -39.089, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
335.410, -38.124, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
335.776, -37.692, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
337.584, -35.476, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
338.278, -34.592, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
338.647, -34.086, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
340.278, -31.751, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
340.665, -31.178, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.013, -30.641, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.236, -30.280, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
342.665, -27.873, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
343.009, -27.274, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
343.298, -26.748, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
343.490, -26.378, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
344.745, -23.858, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.053, -23.218, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.337, -22.592, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.490, -22.234, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.531, -19.687, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.800, -19.002, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.022, -18.401, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.153, -18.020, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.024, -15.338, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.227, -14.685, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.367, -14.198, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.551, -13.500, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.144, -11.074, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.418, -9.851, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.561, -9.095, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.001, -6.469, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.110, -5.759, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.190, -5.158, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.231, -4.785, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.480, -2.124, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.551, -1.226, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.577, -0.796, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.606, -0.046, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.652, 2.459, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.657, 3.332, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.632, 4.353, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.489, 6.980, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.428, 7.872, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
350.366, 8.548, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.979, 11.576, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.858, 12.416, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.760, 13.009, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.688, 13.392, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
349.149, 16.018, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.878, 17.227, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.715, 17.850, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
