J1 J2 J3 J5 J6
-9.552 33.2796 70.3744 0.0 0.0
-9.1756 32.9087 70.9357 0.0 0.0
-8.7928 32.5454 71.4961 0.0 0.0
-8.9078 32.6432 71.3442 0.0 0.0
-8.9972 32.723 71.2207 0.0 0.0
-9.0544 32.7771 71.1375 0.0 0.0
-9.4474 33.1693 70.5403 0.0 0.0
-9.552 33.2796 70.3744 0.0 0.0
-9.6303 33.3667 70.244 0.0 0.0
-9.6776 33.4223 70.1609 0.0 0.0
-10.0298 33.8612 69.5132 0.0 0.0
-10.1612 34.0375 69.2563 0.0 0.0
-10.2432 34.1581 69.0818 0.0 0.0
-10.5241 34.6015 68.447 0.0 0.0
-10.5936 34.7174 68.2827 0.0 0.0
-10.657 34.8303 68.1235 0.0 0.0
-10.9207 35.3601 67.3846 0.0 0.0
-10.9946 35.5191 67.1654 0.0 0.0
-11.0439 35.633 67.009 0.0 0.0
-11.073 35.7056 66.9097 0.0 0.0
-11.2561 36.1991 66.2405 0.0 0.0
-11.3341 36.4298 65.9309 0.0 0.0
-11.3711 36.5529 65.7665 0.0 0.0
-11.5092 37.0728 65.0788 0.0 0.0
-11.567 37.3149 64.7616 0.0 0.0
-11.5948 37.4499 64.5857 0.0 0.0
-11.693 38.0223 63.846 0.0 0.0
-11.7171 38.1793 63.6448 0.0 0.0
-11.7344 38.3119 63.4756 0.0 0.0
-11.7431 38.3938 63.3713 0.0 0.0
-11.796 38.9915 62.6156 0.0 0.0
-11.8062 39.1306 62.441 0.0 0.0
-11.8135 39.2648 62.2732 0.0 0.0
-11.8247 39.9253 61.4534 0.0 0.0
-11.8242 40.1862 61.1324 0.0 0.0
-11.8201 40.333 60.9524 0.0 0.0
-11.787 40.9672 60.1804 0.0 0.0
-11.7761 41.1366 59.9755 0.0 0.0
-11.7642 41.2805 59.8019 0.0 0.0
-11.6827 42.0033 58.9364 0.0 0.0
-11.6638 42.157 58.7535 0.0 0.0
-11.6435 42.3013 58.5823 0.0 0.0
-11.6297 42.3869 58.4806 0.0 0.0
-11.5188 43.0353 57.7164 0.0 0.0
-11.4705 43.296 57.411 0.0 0.0
-11.4353 43.4629 57.216 0.0 0.0
-11.3059 44.0385 56.5471 0.0 0.0
-11.2389 44.3222 56.2192 0.0 0.0
-11.2008 44.4699 56.0488 0.0 0.0
-11.0175 45.1366 55.2839 0.0 0.0
-10.9745 45.2887 55.1101 0.0 0.0
-10.9319 45.4319 54.9468 0.0 0.0
-10.9021 45.5266 54.839 0.0 0.0
-10.7079 46.125 54.1604 0.0 0.0
-10.6133 46.4084 53.8403 0.0 0.0
-10.5591 46.5603 53.6693 0.0 0.0
-10.3166 47.2108 52.9395 0.0 0.0
-10.2569 47.3691 52.7627 0.0 0.0
-10.2132 47.4799 52.6389 0.0 0.0
-10.146 47.6433 52.4568 0.0 0.0
-9.9216 48.1763 51.8646 0.0 0.0
-9.8318 48.3879 51.6304 0.0 0.0
-9.7655 48.5379 51.4646 0.0 0.0
-9.7267 48.6219 51.3718 0.0 0.0
-9.4599 49.1896 50.7467 0.0 0.0
-9.3324 49.456 50.4544 0.0 0.0
-9.2607 49.5989 50.2979 0.0 0.0
-8.9646 50.1677 49.6765 0.0 0.0
-8.8294 50.4235 49.398 0.0 0.0
-8.7515 50.5636 49.2457 0.0 0.0
-8.4081 51.1612 48.5979 0.0 0.0
-8.2817 51.3772 48.3644 0.0 0.0
-8.1905 51.5247 48.2052 0.0 0.0
-7.846 52.0686 47.6195 0.0 0.0
-7.761 52.2016 47.4768 0.0 0.0
-7.6737 52.3331 47.3357 0.0 0.0
-7.2782 52.9 46.7287 0.0 0.0
-7.1091 53.1385 46.474 0.0 0.0
-7.0278 53.2458 46.3595 0.0 0.0
-6.6647 53.715 45.86 0.0 0.0
-6.4846 53.9441 45.6167 0.0 0.0
-6.4048 54.0388 45.5163 0.0 0.0
-5.9991 54.51 45.0171 0.0 0.0
-5.8387 54.6926 44.824 0.0 0.0
-5.7477 54.7893 44.7218 0.0 0.0
-5.3308 55.2198 44.2679 0.0 0.0
-5.2292 55.3229 44.1593 0.0 0.0
-5.1344 55.4155 44.0618 0.0 0.0
-5.0709 55.4746 43.9996 0.0 0.0
-4.6503 55.8565 43.5984 0.0 0.0
-4.5462 55.9494 43.501 0.0 0.0
-4.4552 56.0273 43.4193 0.0 0.0
-4.3914 56.0787 43.3652 0.0 0.0
-3.9588 56.4181 43.01 0.0 0.0
-3.8495 56.5023 42.9218 0.0 0.0
-3.743 56.5797 42.8408 0.0 0.0
-3.6822 56.6212 42.7974 0.0 0.0
-3.2516 56.9061 42.4999 0.0 0.0
-3.1362 56.9806 42.4222 0.0 0.0
-3.0353 57.042 42.3583 0.0 0.0
-2.9714 57.0779 42.3207 0.0 0.0
-2.5235 57.3193 42.0693 0.0 0.0
-2.4148 57.3764 42.0098 0.0 0.0
-2.3338 57.4155 41.969 0.0 0.0
-2.2181 57.4667 41.9158 0.0 0.0
-1.8167 57.6333 41.7425 0.0 0.0
-1.6149 57.7115 41.6612 0.0 0.0
-1.4904 57.752 41.6193 0.0 0.0
