X Y Z Rotation_Matrix
-30.0, -9.244496308679786, 46.963485917314756, [[-0.000868938921631, -0.00047827946603249994, -0.999999508], [0.48219975, -0.8760613, 0.0], [-0.8760608689778405, -0.482199512757723, 0.00099187]]
-30.0, -11.884784534691292, 44.812995508000505, [[-0.0008935255325892609, -0.000851021339732421, -0.999999239], [0.689674143, -0.724119863, 0.0], [-0.7241193119447842, -0.6896736181579771, 0.001233947]]
-30.0, -19.999998092651367, 36.05960844835279, [[-0.027401716451756705, -0.005139809417936165, -0.999611289], [0.184357405, -0.982859271, 0.0], [-0.9824772227899103, -0.18428574324874503, 0.027879593]]
10.0, -19.999998092651367, 34.67615092336726, [[-0.016627437052056878, -0.0021076514868231546, -0.999859533], [0.125751223, -0.992061808, 0.0], [-0.9919224560540156, -0.12573355910295886, 0.016760485]]
10.0, -19.999998092651367, 35.444060709106715, [[-0.01622210530236199, -0.0020704912763464802, -0.999866269], [0.12660687, -0.991952973, 0.0], [-0.9918203181369677, -0.12658993873666805, 0.016353704]]
10.0, -10.83271119589503, 46.476737808955654, [[-0.000109604343992186, -8.0156080021529e-05, -0.999999991], [0.590307467, -0.807178478, 0.0], [-0.8071784707353937, -0.5903074616872328, 0.000135787]]
10.0, -6.466864540725233, 48.92144031438246, [[-0.000105860030700895, -4.2693499911815e-05, -0.999999993], [0.374028647, -0.927417151, 0.0], [-0.9274171445080799, -0.37402864438179945, 0.000114145]]
10.0, -3.1615711689941435, 49.52849303403649, [[-9.387972516447201e-05, -1.902472521261e-06, -0.999999996], [0.020260839, -0.999794728, 0.0], [-0.9997947240008211, -0.020260838918956643, 9.3899e-05]]
10.0, 3.1676791037608183, 49.53591855441134, [[0.000990122427702495, -6.173216675127999e-05, -0.999999508], [-0.062227184, -0.998062011, 0.0], [-0.9980615199534907, 0.06222715338422547, -0.000992045]]
10.0, 8.015302339621421, 48.28536493480607, [[0.00113740823155568, -0.00050442852434038, -0.999999226], [-0.405409324, -0.914135264, 0.0], [-0.9141345564593056, 0.40540901021318326, -0.001244245]]
10.0, 12.061741627122927, 45.36221252893856, [[0.001080626121871024, -0.0010069701467192642, -0.999998909], [-0.681733962, -0.731600167, 0.0], [-0.7315993688242177, 0.6817332182282475, -0.001477072]]
10.0, 20.0, 36.79969973760926, [[0.02701426014441966, -0.0050115132205146, -0.999622486], [-0.18240147, -0.983224137, 0.0], [-0.9828529561231446, 0.18233261089145444, -0.02747518]]
-30.0, 20.0, 35.44406227474314, [[0.01622210530236199, -0.0020704912763464802, -0.999866269], [-0.12660687, -0.991952973, 0.0], [-0.9918203181369677, 0.12658993873666805, -0.016353704]]
-30.0, 10.832713911285396, 46.476735558359366, [[0.00010960433000612501, -8.0156099031709e-05, -0.999999991], [-0.590307607, -0.807178375, 0.0], [-0.8071783677353946, 0.5903076016872315, -0.000135787]]
-30.0, 6.466864749892224, 48.92144029201628, [[0.000105860030700895, -4.2693499911815e-05, -0.999999993], [-0.374028647, -0.927417151, 0.0], [-0.9274171445080799, 0.37402864438179945, -0.000114145]]
-30.0, 3.161571402749715, 49.528493048938444, [[9.387972516447201e-05, -1.902472521261e-06, -0.999999996], [-0.020260839, -0.999794728, 0.0], [-0.9997947240008211, 0.020260838918956643, -9.3899e-05]]
-30.0, -3.167678891534635, 49.53591856642741, [[-0.00099012241679, -6.173233936711e-05, -0.999999508], [0.062227358, -0.998062, 0.0], [-0.998061508953496, -0.06222732738413987, 0.000992045]]
-30.0, -8.015299462389159, 48.285366230404726, [[-0.00113740823155568, -0.00050442852434038, -0.999999226], [0.405409324, -0.914135264, 0.0], [-0.9141345564593056, -0.40540901021318326, 0.001244245]]
-30.0, -12.06174144162955, 45.36221265159279, [[-0.001080626121871024, -0.0010069701467192642, -0.999998909], [0.681733962, -0.731600167, 0.0], [-0.7315993688242177, -0.6817332182282475, 0.001477072]]
-30.0, -19.999998092651367, 36.799698239749794, [[-0.027014259265213898, -0.005011517946245559, -0.999622486], [0.182401642, -0.983224105, 0.0], [-0.9828529241352251, -0.18233278282652202, 0.02747518]]
10.0, -19.999998092651367, 35.444060709106715, [[-0.01622210530236199, -0.0020704912763464802, -0.999866269], [0.12660687, -0.991952973, 0.0], [-0.9918203181369677, -0.12658993873666805, 0.016353704]]
10.0, -19.999998092651367, 36.21197049484617, [[-0.01582015291216782, -0.002032934378439259, -0.999872787], [0.127454807, -0.991844379, 0.0], [-0.9917182035010144, -0.12743859309163713, 0.015950237]]
10.0, -11.036428688782152, 46.99947698490328, [[-0.00012861997756522198, -9.2282760906336e-05, -0.999999987], [0.582957536, -0.812502622, 0.0], [-0.8125026114374659, -0.582957528421552, 0.000158301]]
10.0, -6.767600851168453, 49.389852766309204, [[-0.000125512830038672, -4.9952950331456004e-05, -0.999999991], [0.369780812, -0.929119019, 0.0], [-0.9291190106379289, -0.3697808086719727, 0.000135088]]
10.0, -3.5357584455224043, 49.98341542510978, [[-0.000110450690419124, -2.5008835146279997e-06, -0.999999994], [0.022636732, -0.999743756, 0.0], [-0.9997437500015374, -0.022636731864179607, 0.000110479]]
10.0, 3.5428994383556756, 49.99209685177887, [[0.0011637441438084818, -7.3358705292112e-05, -0.99999932], [-0.062911928, -0.998019083, 0.0], [-0.9980184043470236, 0.06291188521988897, -0.001166054]]
10.0, 8.282461116706656, 48.76942014531407, [[0.0013346348973465598, -0.0005822872516362239, -0.99999894], [-0.399887408, -0.91656427, 0.0], [-0.9165632984418738, 0.39988698411934753, -0.001456128]]
10.0, 12.238698564976751, 45.91142965208847, [[0.001270508117624678, -0.0011578776854079221, -0.999998523], [-0.673586503, -0.739108397, 0.0], [-0.7391073053368976, 0.6735855081127351, -0.001718974]]
10.0, 20.0, 37.53978946438528, [[0.02662841555135093, -0.004885393668676633, -0.999633463], [-0.180453569, -0.983583504, 0.0], [-0.9832229842531944, 0.18038742609017946, -0.027072857]]
-30.0, 20.0, 36.21197200197107, [[0.01582015291216782, -0.002032934378439259, -0.999872787], [-0.127454807, -0.991844379, 0.0], [-0.9917182035010144, 0.12743859309163713, -0.015950237]]
-30.0, 11.0364313799235, 46.9994747681736, [[0.00012861997756522198, -9.2282760906336e-05, -0.999999987], [-0.582957536, -0.812502622, 0.0], [-0.8125026114374659, 0.582957528421552, -0.000158301]]
-30.0, 6.767601088783508, 49.38985272997147, [[0.000125512830038672, -4.9952950331456004e-05, -0.999999991], [-0.369780812, -0.929119019, 0.0], [-0.9291190106379289, 0.3697808086719727, -0.000135088]]
-30.0, 3.535758704910833, 49.983415425628706, [[0.000110450690419124, -2.5008835146279997e-06, -0.999999994], [-0.022636732, -0.999743756, 0.0], [-0.9997437500015374, 0.022636731864179607, -0.000110479]]
-30.0, -3.5428992041764076, 49.99209688277745, [[-0.0011637441309818879, -7.335890935156198e-05, -0.99999932], [0.062912103, -0.998019072, 0.0], [-0.998018393347031, -0.06291206021976996, 0.001166054]]
-30.0, -8.2824582723686, 48.769421432458444, [[-0.0013346349992755199, -0.000582287018655744, -0.99999894], [0.399887248, -0.91656434, 0.0], [-0.9165633684417995, -0.3998868241195171, 0.001456128]]
-30.0, -12.238698348567809, 45.911429795185086, [[-0.00127050791650472, -0.001157877907155568, -0.999998523], [0.673586632, -0.73910828, 0.0], [-0.7391071883370705, -0.6735856371125446, 0.001718974]]
-30.0, -19.999998092651367, 37.539788031146806, [[-0.02662841471209236, -0.00488539829813518, -0.999633463], [0.18045374, -0.983583473, 0.0], [-0.983222953264557, -0.18038759702750162, 0.027072857]]
10.0, -19.999998092651367, 36.21197049484617, [[-0.01582015291216782, -0.002032934378439259, -0.999872787], [0.127454807, -0.991844379, 0.0], [-0.9917182035010144, -0.12743859309163713, 0.015950237]]
10.0, -19.999998092651367, 36.97988028058563, [[-0.015421749691702256, -0.001995026146462917, -0.999879087], [0.128295381, -0.991736001, 0.0], [-0.9916160872249111, -0.12827986842059713, 0.015550257]]
10.0, -11.240146181669267, 47.52221616085092, [[-0.000147872563751232, -0.00010405830467827202, -0.999999984], [0.575492792, -0.817806852, 0.0], [-0.8178068389150904, -0.5754927827921154, 0.000180816]]
10.0, -7.068337161611673, 49.85826521823594, [[-0.00014507398298803202, -5.6967145274754003e-05, -0.999999988], [0.365506713, -0.930808704, 0.0], [-0.9308086928302955, -0.36550670861391943, 0.000155858]]
10.0, -3.909945722050651, 50.43833781618308, [[-0.00012702016618176, -3.18134683076e-06, -0.999999992], [0.025038146, -0.999686496, 0.0], [-0.999686488002508, -0.025038145799694832, 0.00012706]]
10.0, 3.918119772950533, 50.4482751491464, [[0.001339440407876706, -8.5366795939014e-05, -0.999999099], [-0.063604133, -0.997975207, 0.0], [-0.9979743078243384, 0.06360407569267616, -0.001342158]]
10.0, 8.549619893791885, 49.253475355822076, [[0.0015331854823710809, -0.000657848029644883, -0.999998608], [-0.394308437, -0.918978159, 0.0], [-0.9189768797824026, 0.3943078881226557, -0.001668359]]
10.0, 12.415655502830575, 46.46064677523839, [[0.0014631561409461599, -0.0013036172402185798, -0.99999808], [-0.66522827, -0.74664004, 0.0], [-0.7466386064511231, 0.6652269927617216, -0.001959654]]
